Судно;Ледовый класс;Скорость;Порт отправления;Порт прибытия;Порт_1(id);Порт_2(id);Дата отправления;Порт прибытия (ETA);Дата прибытия (расчет);Время факт;Время(расчет)
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
;;;;;;;;;;0;
